title,artist_name,track_mbid,date,length,genre_dortmund,genre_rosamerica,genre_tzanetakis,sad,happy,party,relaxed,acoustic,danceable,tonal,bright,instrumental,decada,longitud_titulo,pca_1,pca_2,pca_3,pca_4,pca_5,cluster,anomaly
Turbulent Serenity,Anne Dudley,0a7d9d61-4a06-4b15-8b56-76a4d01ed887,2001,3.2966529846166663,Blues,Classic,Jazz,0.767676651478,0.258032619953,0.363045662642,0.785597085953,0.488787472248,0.0227065589279,0.025190167129,0.0060760313645,0.809591710567,2000,18,0.9211549825410781,-1.7089413156116382,-0.7911448255212394,-1.098444394351819,0.5061678285639752,1,1
Music on Canvas feat.Tabitha - Upside Down,Music on Canvas feat.Tabitha,0cca6e77-b1f1-4908-904f-377472112558,2011,4.495238240566667,Electronic,Rhythmic,Jazz,0.691787958145,0.0628210157156,0.0727409273386,0.772380828857,0.989682018757,0.113041721284,0.991250574589,0.651611626148,0.996567487717,2010,42,2.5796598268559765,-1.4292398436333837,0.7630800100490472,1.6149723582673994,0.4326218470767363,1,1
Beggers and Choosers,Soul Asylum,1a66e1fa-3320-4290-b7b8-0baf936fc99c,1988,2.9823130289666664,Electronic,Rock,Jazz,0.0604560598731,0.475373327732,0.551840424538,0.0571285933256,0.0186674445868,0.015643492341,0.97046238184,0.476402550936,0.00617339788005,1980,20,-1.1592627959121402,2.250505080956214,-0.5410330858593769,-0.16200299503176233,0.49267734147838405,0,1
Safari Ya Muziki,Onipa,0c2459db-357f-4d16-86a5-ed4feff63e9d,2020,5.555640157066667,Electronic,Pop,Jazz,0.443782806396,0.168203502893,0.245432153344,0.771387636662,0.700633466244,0.841434299946,0.580996096134,0.99998575449,0.943224549294,2020,16,0.4009667603864621,-1.553497979617244,1.2228394405921728,1.1322374643151722,-1.327997955365637,1,1
The Sharpest Corner (Hollow),Alison Moyet,0f48ea11-e20c-4ddd-8881-62a432c90d6b,2007,4.272762044266667,Electronic,Rock,Jazz,0.568017780781,0.663110971451,0.147207975388,0.764621794224,0.885165572166,0.0884932428598,0.877204954624,0.713891506195,0.0754792168736,2000,28,1.790763656254528,0.6953076505784913,1.1320215628229673,0.40980891466037406,0.6250543397208773,1,1
Mango Pickle Down River (with the Wilcannia Mob),M.I.A.,0eb8d63f-33d8-4951-b9fe-57813cd7a24e,2007,3.896163177483333,Electronic,Rhythmic,Jazz,0.191901415586,0.0198280643672,0.519794821739,0.80807864666,0.179168850183,0.979109704494,0.958171069622,0.0387087054551,0.469620227814,2000,48,-0.9029395580109568,-1.228797121718004,-0.19684376382528623,1.086238787704228,1.4437316100051203,0,1
Too Much,Rizzle,1b4f8b61-8310-402a-924d-1771199f3fc9,2022,4.597702026366666,Electronic,Dance,Jazz,0.267806142569,0.636532843113,0.029497506097,0.808796644211,1.70689645529e-07,0.999611675739,0.00482481624931,0.106724716723,0.0857322439551,2020,8,-1.6374979822419582,-1.568369523142894,1.033293776073446,-1.0085251939438085,-0.13261618763684319,0,1
I Wanna Pick You Up,The Beach Boys,1a5bac3a-d452-4d2d-9ec6-42e86c267c1b,1977,2.6337778727166663,Rock,Rhythmic,Jazz,0.406323164701,0.577419340611,0.106507278979,0.795869231224,0.832858383656,0.295047730207,0.866571903229,0.98827445507,0.0102862436324,1970,19,1.9307401294880968,2.3899467910008525,-0.6505421125491015,-0.3550000523570415,0.16215296434501017,1,1
Iarna în Ardeal,Vasile Mardare,0ede317e-b29c-409b-8470-0263ef1ee5ae,2007,2.65404078165,Folkcountry,Classic,Jazz,0.874985337257,0.0347842648625,0.0387598313391,0.925610601902,0.990472793579,0.034260917455,0.264406174421,0.0651654675603,0.000217487046029,2000,15,2.344507368506183,-1.4583761960148636,0.2556613950096027,-2.2197248445668585,1.0152976471175863,1,1
If I Had A Choice,Silverstone,0a3d0674-84b9-4686-9e3a-8453b9351c6c,2001,3.73681640625,Electronic,Dance,Jazz,0.225675374269,0.408422887325,0.798760473728,0.515486419201,0.00990292057395,0.999877274036,0.925169944763,0.280254751444,0.874262034893,2000,17,-1.8458158407043115,-0.06948649580919407,-0.2190396078858101,0.6577207260552884,-0.7708309301669487,0,1
Bossa 2,Adrian Sherwood,0e64f373-200a-49f7-9065-29ef1601f5d2,2012,3.6784762064666663,Electronic,Rhythmic,Jazz,0.438014894724,0.306387871504,0.416153371334,0.883126199245,0.634201169014,0.996365725994,0.00663759605959,0.275035977364,0.624967932701,2010,7,-0.5451601924181569,-1.7499713097045146,0.1405406697762358,-1.0552393681563101,-0.4751519927323379,0,1
Jean petit qui danse (musique),[anonymous],0eb94530-d0f6-4b8f-b52e-0e4bf420431a,2004,1.3244082132983332,Jazz,Jazz,Jazz,0.707264721394,0.164274990559,0.0763137340546,0.910217761993,0.973312318325,0.515534460545,0.971284925938,0.190372109413,0.830260753632,2000,30,2.2569971961523594,-1.0151761488443356,0.39638799155283183,-0.20092533100933135,0.470142692528669,1,1
Paralyzed,Legendary Stardust Cowboy,0f445739-c0e4-4426-949e-b8db85604d6c,2003,2.34405441285,Electronic,Jazz,Jazz,0.125252187252,0.870579004288,0.256163239479,0.0280490070581,0.436434239149,0.692793250084,0.0365105085075,0.50979334116,0.00296818232164,2000,9,-1.7330893066980186,1.2907084485009621,0.5056542939288343,-1.1294636766055959,0.314319336624864,0,-1
Berg Und Tal (instrumental),Wassermann,0ad762ae-3a6f-454d-9b9a-326601fdfb05,2009,6.763102213533333,Electronic,Rhythmic,Jazz,0.377860069275,0.176157265902,0.0892259925604,0.978220403194,0.0907296836376,0.997153580189,0.00458383373916,0.722826719284,0.91223859787,2000,27,-0.3490238060603275,-2.074549560442947,-0.8000870465539294,1.1788043429651218,-0.4342765655618473,0,1
Express Yourself,Madonna,0fd183b7-e2ac-4e0f-8a2f-7f3ad9055c82,1989,4.07118377685,Electronic,Dance,Jazz,0.0395463705063,0.767989993095,0.954450011253,0.0816843435168,5.44313388673e-06,0.999345541,0.00382155831903,0.316835194826,0.237658590078,1980,16,-3.3731175194351044,1.4145465387178813,-1.4993369218831123,-0.34879326957866874,0.45512396190684445,0,1
Wednesday Night Prayer Meeting,Shenandoah,0ecafcb6-de61-4fc4-8ea2-8ed042a25baa,1992,3.7381225586,Electronic,Jazz,Jazz,0.743113696575,0.357211828232,0.034312646836,0.860437870026,0.970850050449,0.098759457469,0.993204414845,0.995799779892,0.0410813987255,1990,30,2.9501090129023013,1.045470061779711,0.5358328172901363,0.28214241441651444,0.6252728318902863,1,1
Sliding Doors,Olly Murs,1a80c83e-8c17-4b96-801e-484dfee8c9cf,2012,3.9488436381,Electronic,Rock,Jazz,0.129864886403,0.256612658501,0.105069577694,0.733215153217,0.00519386306405,0.999691009521,0.926390945911,0.98766797781,0.135061010718,2010,13,-0.8341369288333413,0.1659201029315175,1.387410433919947,0.3395130845380427,-0.9308904717744035,0,1
Sweetheart,Allan Rayman,0a474c58-6cc0-4492-9aab-54b009d31a94,2017,3.5278851827,Electronic,Rhythmic,Jazz,0.361087799072,0.0252356026322,0.511641740799,0.951966226101,0.242992192507,0.928051412106,0.0434744767845,0.229181185365,0.332163721323,2010,10,-1.1567135513276148,-2.0423532822017565,0.20445974266023328,-1.363581667857284,-0.0011217022266427912,0,1
初恋,BeForU,0a40b18a-773c-4352-b784-42e4e1ae70d8,2006,5.719510396316666,Electronic,Pop,Jazz,0.381848454475,0.760676324368,0.416857779026,0.317413836718,0.187707856297,0.479499876499,0.611932516098,0.985974431038,0.997015595436,2000,2,-0.6846799568167788,0.6581843929494275,0.25635125998309144,1.073451600308326,-2.095003823836696,0,1
Gimme! Gimme! Gimme!,ABBA,00e42b48-ed41-4655-bfb2-7ae049361e28,1999,4.880108642583334,Electronic,Pop,Hip-Hop,0.320237278938,0.519073069096,0.000127914958284,0.808817088604,0.00364926387556,0.0199785847217,0.0431597568095,0.999995946884,0.997291922569,1990,20,0.5118181511295412,-0.3174310644712254,-0.9263058559379038,0.768441057384134,-0.60157612644191,1,1
Coyotes (From A Girl In New York Sessions),Jason Mraz,1bac5aa6-b741-4731-8bc8-62a3f203d438,2008,4.333714294433333,Electronic,Rhythmic,Jazz,0.329597353935,0.0619564130902,0.144942313433,0.989829301834,0.863836407661,0.326584905386,0.0583408586681,0.699033975601,0.109637081623,2000,42,1.1208475307710215,-1.2351927608366218,0.002226894823486309,0.07425268332674298,1.8442412058548148,1,1
Right,David Bowie,1bd4cc32-26a1-4d59-82c0-1adde11dc9f6,1975,4.22922439575,Electronic,Pop,Jazz,0.383052766323,0.247452765703,0.280396521091,0.506652891636,0.288974821568,0.249786615372,0.853552818298,0.599918246269,0.135704874992,1970,5,0.5324590168895517,1.579355248286811,-1.5189115542848994,-0.7602087839495703,-0.7203806117987378,1,1
The Mezzanine,Tomas Dvorak,0e432baf-949f-44f3-b206-cad54d37249f,2009,2.2487075805666668,Electronic,Classic,Hip-Hop,0.895533561707,0.183194428682,0.0471356250346,0.992446064949,0.789367139339,0.0621371529996,0.00692737288773,0.00046433051466,0.0945402234793,2000,13,1.9570295087941034,-1.6252001631513728,0.11854116127843332,-2.470992445510633,1.0340027756926324,1,1
Sixteen Straws,The Drones,0b5e79f5-0e1e-4b21-9463-ac41e7076f96,2006,9.591727701816666,Electronic,Jazz,Jazz,0.43681871891,0.0314148440957,0.0357227697968,0.988615572453,0.980474531651,0.0468934290111,0.46813544631,0.685600757599,0.0965488925576,2000,14,1.7931502856732364,-1.4965400525354529,-0.2593749049288826,0.4654345097214242,-0.6103962507237438,1,1
Protein,Jeshi feat․ Obongjayar,00a07af2-8c5d-4cd3-a5a9-7b4e76a66c27,2705,2.92199961345,Electronic,Rhythmic,Jazz,0.360899358988,0.00620901258662,0.737698376179,0.159092187881,0.0740417987108,0.995330929756,0.0221373699605,0.0660309046507,0.666038870811,2020,7,-7.384994657971789,-14.515929849036596,22.29666111743201,0.7451038864621395,-0.6179506294292509,0,1
I Wanna Be Sedated,Ramones,1a8017f5-7400-48a4-b7ce-24aa89b91c05,2018,2.497306060783333,Electronic,Rock,Jazz,0.226746886969,0.904574215412,0.485697031021,0.0323867835104,0.0661803930998,0.374736189842,0.996133565903,0.191323235631,0.211451947689,2010,18,-1.7197020073043743,1.1791784707741957,1.6606737865636152,0.06398293290378262,0.2328161837510836,0,1
Romeo and Juliet,Dire Straits,1a78fdc6-2156-44a9-a5a8-681fd1871d4d,1998,7.514993286133333,Electronic,Rhythmic,Jazz,0.373038321733,0.326619565487,0.149593919516,0.890626192093,0.594178080559,0.184342205524,0.903555631638,0.849850535393,0.962282121181,1990,16,1.45158757625979,-0.39455367350811393,-0.6902150898513413,1.6244198198747686,-1.5658888217517255,1,1
The Underbelly,Died Pretty,0d26062e-ce30-4f06-bc42-fa2e6abc2d51,1990,6.41697947185,Electronic,Rock,Jazz,0.290879309177,0.680921673775,0.673015534878,0.469017773867,0.0217595435679,0.700100541115,0.302074849606,0.940166592598,0.182023659348,1990,14,-1.5399790144559489,1.232469296420875,-0.6508389956180507,0.5927253856278405,-0.44452893317009007,0,1
